,Friend,Follower Count,,,,,,,,,,,,
220,1551367058,455,,,,,,,,,,,,
221,1564889394,0,,,,,,,,,,,,
222,1569615132,106,,,,,,,,,,,,
223,1637456210,951,,,,,,,,,,,,
224,1686799970,5000,,,,,,,,,,,,
225,1711281463,5000,,,,,,,,,,,,
226,1723337161,266,,,,,,,,,,,,
227,1862092890,66,,,,,,,,,,,,
228,1911773226,102,,,,,,,,,,,,
229,1927768428,615,,,,,,,,,,,,
230,2151332060,250,,,,,,,,,,,,
231,2153354521,2,,,,,,,,,,,,
232,2173480850,162,,,,,,,,,,,,
233,2182839406,111,,,,,,,,,,,,
234,2239834663,1059,,,,,,,,,,,,
235,2243119087,10,,,,,,,,,,,,
236,2278388744,642,,,,,,,,,,,,
237,2322493710,211,,,,,,,,,,,,
238,2330940993,47,,,,,,,,,,,,
239,2351420289,804,,,,,,,,,,,,
240,2359848976,33,,,,,,,,,,,,
241,2370912601,5000,,,,,,,,,,,,
242,2381231737,251,,,,,,,,,,,,
243,2396255567,405,,,,,,,,,,,,
244,2436932576,1784,,,,,,,,,,,,
245,2495140081,4,,,,,,,,,,,,
246,2533947620,475,,,,,,,,,,,,
247,2580841434,88,,,,,,,,,,,,
248,2592291038,373,,,,,,,,,,,,
249,2607674898,210,,,,,,,,,,,,
250,2722830710,1364,,,,,,,,,,,,
251,2752385484,276,,,,,,,,,,,,
252,2763613546,9,,,,,,,,,,,,
253,2771013624,2,,,,,,,,,,,,
254,2796664071,37,,,,,,,,,,,,
255,2806320271,68,,,,,,,,,,,,
256,2847587880,52,,,,,,,,,,,,
257,2865759292,6,,,,,,,,,,,,
258,2908594483,13,,,,,,,,,,,,
259,2914605289,436,,,,,,,,,,,,
260,2919263380,112,,,,,,,,,,,,
261,2936496598,427,,,,,,,,,,,,
262,2986305078,272,,,,,,,,,,,,
263,2991697611,544,,,,,,,,,,,,
264,3067930637,252,,,,,,,,,,,,
265,3085709819,194,,,,,,,,,,,,
266,3099127504,115,,,,,,,,,,,,
267,3161452212,9,,,,,,,,,,,,
268,3219466105,9,,,,,,,,,,,,
269,3234404271,189,,,,,,,,,,,,
